song_title,artist,spotify_url,custom_mood_tags,listener_context,archetype,seed_query,weak_label
Dragula (Dark Synthwave),StyleShift AI,https://open.spotify.com/track/3qqrzn5ilyrK0VCydap4MD,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
Dark Synthwave,Dmitro Khatskevych,https://open.spotify.com/track/0a3aEOJgRDBv3BfYc3nvqg,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
After Dark,Mr.Kitty,https://open.spotify.com/track/2LKOHdMsL0K9KwcPRlJK2v,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
After Dark,Mr.Kitty,https://open.spotify.com/track/5FkJHVudUByVjanCqFXRql,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
Power Slam,Paradelous,https://open.spotify.com/track/04mkzqZkdnEn3phQ1IqTcJ,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
Riot,Dance With the Dead,https://open.spotify.com/track/5k3VFeS8Icp6OCc7qsW2ls,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
Hourglass,S U R V I V E,https://open.spotify.com/track/6Gzwo0wI8Ya2FX1W4e9aco,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
Power Core,Power Glove,https://open.spotify.com/track/1JcwHjETNNbUH0yfrc9w9n,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
Schwarzenegger,Quixotic,https://open.spotify.com/track/1I672WKPRjoQhw3lxlmLHU,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
ULTRA,Nightstop,https://open.spotify.com/track/1EwwXi2ORYbrndoaOAa2Sp,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark synthwave,yes
Night Drive,Wilee,https://open.spotify.com/track/4jrXcjE0rKXu4svwQ7IYzD,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
Night Drive (Slowed + Reverb),Wilee,https://open.spotify.com/track/331H6137RMXrWPqdoinXfA,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
Nightcall,Kavinsky,https://open.spotify.com/track/0U0ldCRmgCqhVvD6ksG63j,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
Night Drive,RUBII,https://open.spotify.com/track/74fnS63JH0L2vIan7siS9X,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
night drive (200mph),arya x,https://open.spotify.com/track/7egk4i5HeWIUxdpqRXhy3V,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
Night Drive,The All-American Rejects,https://open.spotify.com/track/16wNgHgjk7anQGpx39dPpt,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
night drive,Night...,https://open.spotify.com/track/0kjKHSO0zt2EceQJdYKr1y,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
Night Drive,Brother Firetribe,https://open.spotify.com/track/1EnszoyKk67dQLK3olWlt4,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
Night Drive,Part Time,https://open.spotify.com/track/6c8pVKT7KBUzp6fYNDFqlL,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
Nattbuss,"Fricky, The Desktoppers",https://open.spotify.com/track/6Nh66ug74gdMfr6PA6DUXQ,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,night drive,yes
worry - ultra slowed,"LONOWN, riserayss",https://open.spotify.com/track/18j6GCxt5aFKbYqdvksL7N,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
Darkside,"Alan Walker, Au/Ra, Tomine Harket",https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
Little Dark Age,MGMT,https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
Darkside,"Alan Walker, Au/Ra, Tomine Harket",https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
DARKNESS (POWER),PLUS+,https://open.spotify.com/track/0lGuJREQC4uMpS0n6SRgFv,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
Fade Into Darkness - Vocal Radio Mix,Avicii,https://open.spotify.com/track/5kwAIpUBwhmiBpsJlcMgO1,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
Dark Beach,Pastel Ghost,https://open.spotify.com/track/7fqjWHXf330QwnfaAWB2Dr,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
Dark River - Bonus Track,Sebastian Ingrosso,https://open.spotify.com/track/1EYFgYzq3fJGDdEtVMsATh,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
Dark Side of the Moon,suisside,https://open.spotify.com/track/4oWZBcaBfx5wVZokxljMvU,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,dark electronic,yes
La Dolce Vita,After Dark,https://open.spotify.com/track/1b5yFVBwIbjKI2TULxtDoC,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,after dark,yes
After Dark - Slowed Remix,xholder,https://open.spotify.com/track/1cQ20lPxn80HPkA9qIX5pX,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,after dark,yes
After Dark x Sweater Weather,mikeeysmind,https://open.spotify.com/track/0lISuB4J7JO7hP7Hd5QUoP,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,after dark,yes
