song_title,artist,album,release_year,artist_genres,artist_popularity,artist_followers,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,custom_mood_tags,listener_context,embedding_text,archetype,spotify_url,seed_query,weak_label
Dragula (Dark Synthwave),StyleShift AI,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Dragula (Dark Synthwave) | StyleShift AI | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/3qqrzn5ilyrK0VCydap4MD,dark synthwave,yes
Dark Synthwave,Dmitro Khatskevych,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Dark Synthwave | Dmitro Khatskevych | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/0a3aEOJgRDBv3BfYc3nvqg,dark synthwave,yes
After Dark,Mr.Kitty,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,After Dark | Mr.Kitty | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/2LKOHdMsL0K9KwcPRlJK2v,dark synthwave,yes
After Dark,Mr.Kitty,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,After Dark | Mr.Kitty | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/5FkJHVudUByVjanCqFXRql,dark synthwave,yes
Power Slam,Paradelous,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Power Slam | Paradelous | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/04mkzqZkdnEn3phQ1IqTcJ,dark synthwave,yes
Riot,Dance With the Dead,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Riot | Dance With the Dead | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/5k3VFeS8Icp6OCc7qsW2ls,dark synthwave,yes
Hourglass,S U R V I V E,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Hourglass | S U R V I V E | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/6Gzwo0wI8Ya2FX1W4e9aco,dark synthwave,yes
Power Core,Power Glove,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Power Core | Power Glove | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1JcwHjETNNbUH0yfrc9w9n,dark synthwave,yes
Schwarzenegger,Quixotic,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Schwarzenegger | Quixotic | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1I672WKPRjoQhw3lxlmLHU,dark synthwave,yes
ULTRA,Nightstop,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,ULTRA | Nightstop | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1EwwXi2ORYbrndoaOAa2Sp,dark synthwave,yes
Night Drive,Wilee,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Night Drive | Wilee | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/4jrXcjE0rKXu4svwQ7IYzD,night drive,yes
